,open,close,industry,industry2,mktvalue
浦发银行,4.92225,4.87905,finance,bank,3496
白云机场,5.28966,5.34483,transportation,airport,346
东风汽车,3.33,3.38,bus,busmanu,87.8
中国国贸,10.3,10.27,Realestate,Realestate,164
首创股份,2.9,2.92,public utility,water,186
上海机场,19.1,20.030001,transportation,airport,1448
包钢股份,1.12857,1.18214,steel,steel,583
华能国际,6.56,6.66,public utility,power,823
皖通高速,5.96,6.03,transportation,highway,86.71
华夏银行,4.03846,3.99038,finance,bank,1143
民生银行,3.87174,3.81937,finance,bank,2595
日照港,2.38667,2.42,transportation,seaport,86.73
上港集团,7.09,6.97,transportation,seaport,1291
宝钢股份,8.83,9.14,steel,steel,1218
中原高速,3.32889,3.39897,transportation,highway,93.04
上海电力,4.08333,4.06667,public utility,power,193
济南钢铁,2.77066,2.96296,steel,steel,151
中海发展,10.59,10.4,transportation,seaport,195
华电国际,3.05,3.16,public utility,power,346
中国石化,5.43,5.43,chemical industry,petroleum,5774
南方航空,2.82667,2.84,transportation,aviation,743
中信证券,20.42,20.33,finance,investbank,2404
三一重工,2.71876,2.68539,Mechanics,construction ,1220
福建高速,3.38667,3.50667,transportation,highway,82.88
楚天高速,2.69231,2.75641,transportation,highway,55.7
招商银行,12.1552,11.4183,finance,bank,8958
歌华有线,15.6375,15.2437,media,Cable TV,119
哈飞股份,12.61,12.58,transportation,airport,268
四川路桥,1.36111,1.36111,construction,construction,117
保利地产,2.7664,2.84795,realestate,realestate,1722
中国联通,4.78,4.95,communication,Telecommunication,1772
宁波联合,6.79,6.83,Comprehensive,trade,18.16
浙江广厦,5.45,5.45,realestate,realestate,36.27
中江地产,4.85417,4.72222,realestate,realestate,86
黄山旅游,7.66667,7.31333,Leisure service,travel,58.73
万东医疗,1.5,1.5,Medical Biology ,medical care,53.59
中国医药,2.73077,2.59615,Medical Biology ,healthcare,134
五矿发展,7.46,7.55,trade,trade,78.46
古越龙山,6.52447,6.70393,Food and beverage,Liquor and Spirits,67.51
海信电器,2.88889,2.89333,Electric Appliances,Electronic product,125
中纺投资,2.7,2.68,Light manufacturing,clothing,505
双鹤药业,4.52546,4.42708,Medical Biology ,Western medicine,129
皖维高新,1.17292,1.14167,chemical industry,chemical,67.21
南京高科,2.49167,2.41944,realestate,realestate,113
宇通客车,3.83191,3.8547,bus,busmanu,311
冠城大通,3.05945,3.13886,realestate,realestate,56.4
葛洲坝,2.32,2.27333,construction,construction,283
银鸽投资,2.20513,2.26667,Light manufacturing,Paper Products,43.03
